t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
46800,111971,105245,0.00188801,0,0.001507663,0.000308785,8.81E-05,0,0.002324856,0.000116621,0.392543958,0.009245
47400,111970,105246,0.00188429,0,0.001513938,0.000308827,8.55E-05,0,0.002325446,0.000116032,0.399152176,0.009246
48000,111968,105248,0.00187998,0,0.001520666,0.000308872,8.28E-05,0,0.002326014,0.000115451,0.405640712,0.009246
48600,111967,105247,0.00187562,0,0.001527484,0.000308919,8.01E-05,0,0.0023265,0.000114878,0.41200867,0.009246
49200,111965,105248,0.00187124,0,0.00153437,0.000308968,7.75E-05,0,0.002326982,0.000114319,0.418255083,0.009247
49800,111964,105249,0.0018668,0,0.00154131,0.000309015,7.49E-05,0,0.002327337,0.000113694,0.424388053,0.009247
50400,111963,105251,0.00186223,0,0.001548387,0.000309072,7.24E-05,0,0.002327594,0.000113072,0.430405019,0.009247
51000,111962,105252,0.00185728,0,0.001555782,0.000309131,7.00E-05,0,0.002327722,0.000112421,0.436303209,0.009248
51600,111960,105254,0.00185248,0,0.001563101,0.000309194,6.76E-05,0,0.002327795,0.000111733,0.442077931,0.009248
52200,111959,105255,0.00184767,0,0.001570465,0.000309263,6.54E-05,0,0.00232769,0.00011106,0.447729308,0.009248
52800,111957,105256,0.00184277,0,0.001577905,0.000309333,6.32E-05,0,0.002327392,0.000110311,0.453261958,0.009249
53400,111956,105256,0.00183777,0,0.001585466,0.00030941,6.11E-05,0,0.00232698,0.000109534,0.458668987,0.009249
54000,111955,105255,0.00183231,0,0.001593388,0.000309491,5.90E-05,0,0.002326484,0.000108802,0.463950341,0.009249
54600,111954,105255,0.00182683,0,0.001601349,0.000309573,5.70E-05,0,0.00232595,0.000108125,0.469111443,0.00925
55200,111953,105255,0.00182161,0,0.00160914,0.000309659,5.50E-05,0,0.0023253,0.00010741,0.474168549,0.00925
55800,111951,105255,0.0018153,0,0.001617625,0.000309736,5.32E-05,0,0.002324255,0.000106694,0.479134302,0.00925
56400,111950,105255,0.00181006,0,0.001625468,0.000309831,5.17E-05,0,0.002323009,0.000106012,0.48397938,0.009251
57000,111949,105255,0.00180622,0,0.001632304,0.000309928,5.00E-05,0,0.002322025,0.000105349,0.48871108,0.009251
57600,111948,105255,0.0018014,0,0.00163975,0.000310036,4.84E-05,0,0.002320788,0.000104631,0.493330152,0.009251
58200,111947,105255,0.00179682,0,0.001647041,0.000310147,4.71E-05,0,0.002319182,0.0001039,0.497840726,0.009252
58800,111946,105255,0.0017917,0,0.001654757,0.000310264,4.57E-05,0,0.002317644,0.000103182,0.502242677,0.009252
59400,111944,105255,0.00178669,0,0.001662441,0.000310384,4.43E-05,0,0.002315963,0.000102478,0.506598801,0.009252
60000,111943,105255,0.00178184,0,0.001669884,0.000310524,4.31E-05,0,0.002314101,0.00010178,0.510962845,0.009253
60600,111942,105255,0.00177725,0,0.001676855,0.000310664,4.20E-05,0,0.002312238,0.000101091,0.515281163,0.009253
61200,111942,105255,0.00177264,0,0.001683852,0.000310805,4.08E-05,0,0.002310412,0.000100377,0.51951052,0.009253
61800,111941,105255,0.00176819,0,0.001690708,0.000310948,3.97E-05,0,0.002308608,9.97E-05,0.523673901,0.009253
62400,111940,105255,0.00176375,0,0.001697464,0.000311099,3.86E-05,0,0.002306591,9.90E-05,0.527763964,0.009254
63000,111940,105255,0.0017593,0,0.00170431,0.000311255,3.75E-05,0,0.002304562,9.84E-05,0.531773735,0.009254
63600,111939,105255,0.00175527,0,0.001710909,0.000311415,3.65E-05,0,0.00230247,9.76E-05,0.535701371,0.009254
64200,111938,105255,0.00175141,0,0.001717476,0.000311581,3.55E-05,0,0.002300407,9.70E-05,0.539547152,0.009254
64800,111937,105255,0.00174718,0,0.001724188,0.000311751,3.45E-05,0,0.002298233,9.62E-05,0.543339775,0.009255
65400,111937,105255,0.0017428,0,0.001731093,0.000311925,3.36E-05,0,0.002296084,9.56E-05,0.547057359,0.009255
66000,111936,105255,0.00173842,0,0.001738012,0.000312108,3.27E-05,0,0.00229389,9.49E-05,0.550701441,0.009255
66600,111935,105255,0.00173391,0,0.001745068,0.000312295,3.18E-05,0,0.002291715,9.42E-05,0.554274996,0.009256
67200,111935,105255,0.00172946,0,0.001751976,0.000312487,3.08E-05,0,0.002289617,9.34E-05,0.55778273,0.009256
67800,111934,105255,0.00172525,0,0.001758707,0.000312687,2.99E-05,0,0.002287483,9.28E-05,0.561224924,0.009256
